camp_id,camp_name,camp_type,camp_desc,start_date,end_date,target_aud,channel,budget_alloc,budget_spent,imp_count,click_count,conv_count,rev_gen,roi_calc,camp_status,camp_manager
CAMP001,Memorial Day Promotion 2024,Affiliate,Reactivation campaign targeting dormant customers,2024-08-07,2024-09-26,Enterprise Clients,Direct Mail,41722.92,41083.24,1586124,34047,3274.0,164007.68,299.21,Completed,Lisa Martinez
CAMP002,Clearance Sale 2024,Influencer,Upselling campaign to promote premium products,2023-08-24,2023-09-30,Luxury Shoppers,Direct Mail,39112.8,42528.49,3987563,57238,4114.0,576562.05,1255.71,Completed,James Taylor
CAMP003,Flash Sale Deal 2023,Search Ads,Educational campaign to highlight product features,2025-01-16,2025-01-27,Millennials,Google Ads,14304.97,13925.97,690562,17488,327.0,59118.91,324.52,Completed,Sarah Lee
CAMP004,Easter Special 2024,Event,Brand awareness campaign to increase market share,2024-03-02,2024-05-25,,Radio,87873.35,108196.59777500002,3567845,90009,116960.05922187067,866538.71,2344.7723946474084,Completed,Patricia Anderson
CAMP005,Summer Bonanza 2024,Influencer,Educational campaign to highlight product features,2024-02-09,2024-03-20,Luxury Shoppers,Website,25989.02,21679.54,808074,11714,384.0,53962.76,148.91,Completed,James Taylor
CAMP006,Holiday Bonanza 2023,Display Ads,Loyalty program promotion to increase customer engagement,2024-10-04,2024-10-21,High-Value Customers,LinkedIn,53567.31,52857.76,2706462,67788,86477.08141127868,476553.72,801.58,Completed,Patricia Anderson
CAMP007,New Year Exclusive 2025,Affiliate,Clearance promotion to reduce inventory,2024-04-28,2024-07-25,Government Sector,Mobile App,7112.17,6208.25,366933,10951,1053.0,161918.03,2508.11,Completed,David Johnson
CAMP008,Christmas Special 2023,Social Media,Product launch campaign for new offerings,2025-01-17,2025-03-31,Healthcare Industry,Direct Mail,42274.26,38332.02,3829740,30865,495.0,26288.58,-31.42,Active,David Johnson
CAMP009,Back to School Limited Time Offer 2025,Referral,Reactivation campaign targeting dormant customers,2023-07-25,2023-10-03,Luxury Shoppers,TikTok,58542.53,47009.43,4096001,106063,9860.0,993408.72,2013.21,Completed,John Smith
CAMP010,Anniversary Special 2025,Email,Upselling campaign to promote premium products,2023-05-07,2023-05-16,High-Value Customers,LinkedIn,10119.74,9759.04,660181,18096,1052.0,139378.68,1328.2,Completed,Michael Brown
CAMP011,Anniversary Savings 2025,Social Media,Flash sale to drive immediate revenue,2024-05-18,2024-07-07,Existing Customers,Facebook,44280.4,40123.48,2498932,65240,3525.0,250091.03,523.3,Completed,James Taylor
CAMP012,Winter Bonanza 2025,PR,,2023-01-19,2023-03-22,Luxury Shoppers,Website,96800.26,134086.3862062944,6356952,143787,7939.0,1295984.63,1194.19,Completed,Jennifer Davis
CAMP013,Easter Event 2024,Email,Flash sale to drive immediate revenue,2023-04-11,2023-06-15,,LinkedIn,65613.03,96521.5880297662,2774776,15523,937.0,162677.6,146.5,Completed,Michael Brown
CAMP014,Summer Deal 2024,Affiliate,Reactivation campaign targeting dormant customers,2024-01-28,2024-02-12,Dormant Customers,In-Store,54482.0,53228.85,2723208,64290,2737.0,264817.21,397.51,Completed,Sarah Lee
CAMP015,Fall Promotion 2025,PR,Lead generation campaign to acquire new customers,2024-02-19,2024-04-08,Healthcare Industry,Mobile App,15335.91,16561.81,611212,14424,612.0,62709.91,278.64,Completed,John Smith
CAMP016,Labor Day Exclusive 2024,Direct Mail,Customer retention campaign targeting existing customers,2023-10-24,2023-11-26,Technology Enthusiasts,Mobile App,67825.72,70900.23,4433958,125818,6245.0,1122353.83,1483.0,Completed,John Smith
CAMP017,Holiday Launch 2024,Email,Targeted promotion to drive sales of seasonal products,2024-03-08,2024-05-12,Luxury Shoppers,TikTok,63335.63,67006.98,4219786,53071,4988.0,565954.21,744.62,Completed,Lisa Martinez
CAMP018,Independence Day Special 2025,Influencer,Loyalty program promotion to increase customer engagement,2023-09-27,2023-11-13,New Customers,In-Store,62844.5,66742.1,2461293,68550,4321.0,601596.33,801.37,Completed,Patricia Anderson
CAMP019,Thanksgiving Launch 2025,Display Ads,Clearance promotion to reduce inventory,2024-12-19,2025-02-12,Existing Customers,Instagram,63233.64,54029.26,4674356,71403,2156.0,164689.5,204.82,Completed,Patricia Anderson
CAMP020,Labor Day Sale 2025,Display Ads,Holiday special to capitalize on seasonal spending,2023-03-16,2023-06-02,Retail Industry,Email,41515.12,42451.58,1878760,43710,2448.0,159893.84,276.65,Completed,Robert Wilson
